utt_id,spk_id,path,duration_sec,gender,text_id,transcript
BAC009S0192W0382,S0192,wav/S0192/BAC009S0192W0382.wav,4.668,1,W0382,这种 情形 得到 了 大 为 改观
BAC009S0124W0197,S0124,wav/S0124/BAC009S0124W0197.wav,3.28,1,W0197,但 一 个 不 容 忽视 的 现实 却是
BAC009S0124W0160,S0124,wav/S0124/BAC009S0124W0160.wav,3.9509375,1,W0160,较 上月 上升 十一 个 百分点
BAC009S0124W0212,S0124,wav/S0124/BAC009S0124W0212.wav,3.616125,1,W0212,中原 地产 研究 部 总监 张大 伟 表示
BAC009S0340W0266,S0340,wav/S0340/BAC009S0340W0266.wav,3.4289375,1,W0266,从 备受 国民 追捧 的 外资 洋 牌
BAC009S0340W0150,S0340,wav/S0340/BAC009S0340W0150.wav,3.659,1,W0150,某一 项目 难以 测算 未来 收益
BAC009S0340W0229,S0340,wav/S0340/BAC009S0340W0229.wav,6.146,1,W0229,违反 了 股票 发现 价值 投资 价值 资源 合理 配置 的 初衷
BAC009S0517W0244,S0517,wav/S0517/BAC009S0517W0244.wav,6.2070625,1,W0244,违规 信 披 所 获 收益 远大 于 违规 支出
BAC009S0517W0227,S0517,wav/S0517/BAC009S0517W0227.wav,3.749,1,W0227,这 是纯 粹 的 资金 池 产品
BAC009S0517W0373,S0517,wav/S0517/BAC009S0517W0373.wav,3.501,1,W0373,这 也是 以 运动 员 的 身体 为重
BAC009S0194W0228,S0194,wav/S0194/BAC009S0194W0228.wav,4.3710625,1,W0228,和 研发 以及 生产 处于 同等 重要 的 位置
BAC009S0194W0443,S0194,wav/S0194/BAC009S0194W0443.wav,5.6320625,1,W0443,僵尸 车 小区 楼道 口 侧翻 五年 居民 欲 卖 废铁
BAC009S0194W0140,S0194,wav/S0194/BAC009S0194W0140.wav,3.267,1,W0140,房东 发现 市场 行情 很好
BAC009S0655W0446,S0655,wav/S0655/BAC009S0655W0446.wav,5.2739375,1,W0446,一名 中年 女子 整日 赤身 裸体 在 村内 游走
BAC009S0655W0410,S0655,wav/S0655/BAC009S0655W0410.wav,5.1340625,1,W0410,他 仍 大赞 对方 心 比 人美 力挺 到底
BAC009S0655W0381,S0655,wav/S0655/BAC009S0655W0381.wav,5.531,1,W0381,乌洛 达兹 克 都 遗憾 不 敌 俄罗斯 选手 收获 银牌
BAC009S0040W0484,S0040,wav/S0040/BAC009S0040W0484.wav,4.1789375,0,W0484,男孩 家长 与其 争吵 并发 生 冲突
BAC009S0040W0176,S0040,wav/S0040/BAC009S0040W0176.wav,4.076,0,W0176,小米 科技 创始 人雷 军 却 郑重 发
BAC009S0040W0230,S0040,wav/S0040/BAC009S0040W0230.wav,3.051,0,W0230,在 业绩 没 有 问题 的 情况 下
BAC009S0722W0299,S0722,wav/S0722/BAC009S0722W0299.wav,2.704125,0,W0299,台 积 电 也 在 未雨 绸缪
BAC009S0722W0217,S0722,wav/S0722/BAC009S0722W0217.wav,2.875,0,W0217,艾滋 病 多久 可以 检测 出
BAC009S0722W0257,S0722,wav/S0722/BAC009S0722W0257.wav,5.074,0,W0257,不过 其 芯片 方面 的 代工 究竟 是 三星 还是 台 积 电
BAC009S0731W0210,S0731,wav/S0731/BAC009S0731W0210.wav,4.553,0,W0210,提高 发 审 透明度 首先 可以 提升 发 审 效率
BAC009S0731W0135,S0731,wav/S0731/BAC009S0731W0135.wav,5.414,0,W0135,自去 年底 在 港 交所 成功 上市 之后
BAC009S0731W0351,S0731,wav/S0731/BAC009S0731W0351.wav,5.785875,0,W0351,他 忽然 发现 有 一名 参赛 者 因为 心脏 骤停 昏倒 在 路 上
BAC009S0748W0278,S0748,wav/S0748/BAC009S0748W0278.wav,4.181,1,W0278,最 早 将 在明 年 夏天 再次 试飞
BAC009S0748W0377,S0748,wav/S0748/BAC009S0748W0377.wav,4.1989375,1,W0377,南师 大体 科院 相关 负责 人 表示
BAC009S0748W0465,S0748,wav/S0748/BAC009S0748W0465.wav,3.255875,1,W0465,一零 多年 前 买 过来 的
